Time(s),Sound
0,516.7145
1,625.747
2,335.65875
3,386.568
4,303.2434375
5,98.0975625
6,94.993
7,462.588875
8,187.3965625
9,600.2666875
10,172.781625
11,207.299
12,521.359375
13,136.3118125
14,2.251625
15,304.9315
16,854.6345625
17,188.87775
18,1.993125
19,2.080875
20,1.964125
21,491.128875
22,139.144125
23,537.7798125
24,157.656
25,2.2751875
26,218.5340625
27,802.77475
28,328.706625
29,6.6834375
30,2.6203125
31,5.3278125
32,470.1585625
33,42.3306875
34,553.16075
35,241.523875
36,3.8579375
37,172.2578125
38,768.29975
39,407.676875
40,1.936125
41,2.2916875
42,1.8750625
43,490.198375
44,1.887
45,530.183125
46,302.1055625
47,4.5670625
48,96.422875
49,694.5008125
50,555.86875
51,2.1375
52,2.20125
53,2.0576875
54,444.439
55,48.0008125
56,451.1438125
57,381.7171875
58,2.2995
59,75.680625
60,109.2791875
61,134.5134375
62,269.4255625
63,315.0691875
64,188.702625
65,130.091625
66,92.108375
67,129.623
68,123.498
69,59.56225
70,273.9353125
71,272.612
72,221.9760625
73,185.2395625
74,296.854875
75,230.4970625
76,51.4203125
77,200.905125
78,264.278875
79,25.985125
80,274.573625
81,161.0536875
82,118.3049375
83,15.668875
84,153.4503125
85,179.827375
86,152.1476875
87,210.199375
88,174.2175
89,93.6175
90,185.909125
91,290.597
92,198.9060625
93,175.9586875
94,198.8906875
95,127.991
96,288.472625
97,197.9619375
98,93.0063125
99,256.3685
100,76.5324375
101,189.1505
102,150.0938125
103,92.0760625
104,229.3288125
105,262.106
106,121.4875625
107,33.579875
108,245.578875
109,238.9015
110,289.7753125
111,235.278625
112,65.1625
113,24.1353125
114,236.92825
115,168.3993125
116,243.3250625
117,101.980625
118,256.23275
119,151.4449375
120,116.728125
121,337.241375
122,276.6995625
123,161.8286875
124,294.5005
125,212.6118125
126,80.0276875
127,64.783625
128,291.6670625
129,423.637625
130,200.790375
131,357.7585625
132,318.7773125
133,187.4979375
134,341.3775625
135,172.0669375
136,175.48275
137,138.3780625
138,171.36575
139,147.56
140,81.5511875
141,409.127625
142,255.3150625
143,150.079125
144,256.479125
145,124.3678125
146,153.49925
147,143.6921875
148,86.93175
149,3.0561290322580645
