Time(s),Sound
0,489.3535625
1,619.9611875
2,368.236375
3,359.5498125
4,326.363375
5,105.7116875
6,77.0081875
7,487.6304375
8,189.5126875
9,579.755375
10,190.3675
11,183.0025
12,513.46475
13,136.777625
14,2.6238125
15,287.6360625
16,845.135625
17,216.4956875
18,1.887375
19,2.4096875
20,12.9143125
21,141.6355625
22,525.0668125
23,170.6689375
24,4.1834375
25,208.576875
26,796.986875
27,341.4131875
28,2.2294375
29,1.7131875
30,2.063375
31,9.3606875
32,583.06825
33,242.24575
34,2.0485
35,156.1905625
36,754.622
37,438.8313125
38,1.6630625
39,1.6784375
40,2.3814375
41,1.7610625
42,508.11925
43,323.967125
44,1.6341875
45,84.005125
46,680.058
47,582.518
48,2.2701875
49,3.481375
50,5.4575625
51,4.5368125
52,437.669875
53,396.2849375
54,45.1321875
55,63.818125
56,628.240625
57,671.0006875
58,120.0975625
59,17.46725
60,66.43475
61,25.3266875
62,356.25625
63,459.142375
64,51.1121875
65,155.0266875
66,534.5535
67,806.4900625
68,105.3011875
69,96.6594375
70,51.2615
71,211.7061875
72,21.2390625
73,172.1875
74,298.293
75,232.786625
76,149.328
77,186.99325
78,145.3143125
79,124.0369375
80,283.4349375
81,366.0406875
82,287.2115
83,191.245375
84,225.5885
85,59.4429375
86,38.549625
87,6.358125
88,3.507625
89,50.493375
90,318.125625
91,175.8545625
92,290.6206875
93,307.161875
94,262.351125
95,236.37125
96,247.023875
97,208.573375
98,298.9383125
99,178.67125
100,261.849125
101,252.028875
102,379.36825
103,223.83625
104,310.05675
105,15.6383125
106,36.3343125
107,42.575875
108,8.085875
109,3.32375
110,3.3511875
111,3.277
112,51.4530625
113,42.3310625
114,17.0296875
115,161.32975
116,424.259375
117,191.895625
118,115.6045625
119,243.3969375
120,165.8314375
121,62.511375
122,28.302625
123,14.316625
124,2.866625
125,22.1044375
126,163.899625
127,178.581
128,149.7995
129,26.5555625
130,2.98725
131,2.4893125
132,140.9255
133,129.368
134,163.8638125
135,217.151875
136,139.33025
137,212.508625
138,257.6304375
139,40.7735
140,263.0743125
141,169.98025
142,9.723
143,201.404875
144,125.721875
145,17.47425
146,89.198125
147,68.689
148,47.73425
149,40.8658125
150,107.9516875
151,256.5375625
