0,2,客服,国脉科技。唉你好。就是,neutral,neutral,neutral,neutral
1,3,客户,我我想咨询一下就是我呃大概是7号那个呃,neutral,neutral,neutral,neutral
2,3,客户,就是买的那个净水器到了，然后到现在都没有没有师傅跟我联系安装。,neutral,neutral,neutral,neutral
3,2,客服,噢好的，那个麻烦您提供一下那个呃手机号，然后我这边查一下您的订单信息。噢133。,neutral,neutral,neutral,neutral
4,2,客服,嗯133。,neutral,neutral,neutral,neutral
5,3,客户,6524652497999799。,neutral,neutral,neutral,neutral
6,2,客服,噢好的，您是沈先生是吧？,neutral,neutral,neutral,neutral
7,3,客户,对对,neutral,neutral,neutral,neutral
8,2,客服,对嗯好的，那个您今天是不是有联系过我吗？对。,neutral,neutral,neutral,neutral
9,3,客户,我就想想想知道，因为明天正好是周末，然后我就想知道他,neutral,neutral,neutral,neutral
10,3,客户,这边师傅的话大概是一个什么时间还是就是这样我我我好安排，不然的话他到时候就跟我,neutral,neutral,neutral,neutral
11,3,客户,这个联系了，我这个有没有时间这个也不好说。,neutral,neutral,neutral,neutral
12,2,客服,嗯好的，那个您您是就是要确定一下呃就是周末的话能不能给您装是吧？,neutral,neutral,neutral,neutral
13,3,客户,啊就是确定一下就是他现在就是帮帮我预约的怎么样了。,neutral,neutral,neutral,neutral
14,2,客服,嗯好的，那个因为是这样的，因为这个安装的话是我们这边会,neutral,neutral,neutral,neutral
15,2,客服,就是反馈下去，然后这边会就是派单进行安装的，,neutral,neutral,neutral,neutral
16,2,客服,然后这样那个呃我我这边就是再给您问一下，然后到时候看一下就是明后天能不能给您装，,neutral,neutral,neutral,neutral
17,2,客服,然后一会的话最好就让他让。,neutral,neutral,neutral,neutral
18,3,客户,他让他唉让他能能跟我联系一下，然后哪怕确定个时间。,neutral,neutral,neutral,neutral
19,2,客服,好的好的好的行嗯行，行行，我这边再反馈一下，到时候让师傅的话尽快先跟您联系一下。,neutral,neutral,neutral,neutral
20,3,客户,嗯嗯好的好的唉好的。,neutral,neutral,neutral,neutral
21,2,客服,嗯好好再见啊再见。,neutral,neutral,neutral,neutral
