Time(s),Sound
0,568.55025
1,596.04075
2,314.0801875
3,409.413625
4,281.879
5,96.023125
6,150.787125
7,439.245875
8,232.6025625
9,567.889625
10,124.2173125
11,244.3663125
12,491.7415
13,97.793625
14,1.7375
15,353.717625
16,880.338125
17,114.472875
18,1.7283125
19,1.806
20,1.7870625
21,489.8535
22,177.7125625
23,84.0945625
24,45.2474375
25,445.0221875
26,83.893375
27,410.24475
28,171.0699375
29,236.8013125
30,181.0126875
31,113.82425
32,155.822875
33,126.561875
34,209.428625
35,171.5209375
36,117.433
37,152.696375
38,134.7385625
39,194.0566875
40,318.33525
41,111.304125
42,137.7929375
43,366.9243125
44,45.408625
45,505.170875
46,185.69175
47,118.5833125
48,99.2365625
49,137.228625
50,169.9160625
51,171.78075
52,260.819125
53,221.3748125
54,226.662375
55,117.118375
56,237.5448125
57,91.8318125
58,164.892375
59,311.304
60,318.9865
61,49.542
62,50.750875
63,95.19425
64,102.9323125
65,118.950125
66,11.2835
67,25.8094375
68,407.24275
69,304.5489375
70,230.2188125
71,119.5923125
72,155.7255
73,87.092
74,112.923
75,26.4843125
76,70.8524375
77,38.6020625
78,163.8830625
79,102.1141875
80,66.4566875
81,62.3795625
82,118.071
83,86.09675
84,5.9795
85,6.296787148594378
