Time(s),Sound
0,599.44225
1,596.8800625
2,319.61
3,443.3124375
4,293.8611875
5,150.3924375
6,294.1806875
7,530.1506875
8,242.1735
9,567.3490625
10,150.186625
11,350.5538125
12,515.392875
13,102.4296875
14,65.8673125
15,377.1326875
16,837.79825
17,122.238375
18,114.5644375
19,255.5975625
20,332.318375
21,168.895375
22,283.8305
23,273.2885625
24,224.0976875
25,259.124125
26,268.8564375
27,129.2929375
28,211.93775
29,206.9504375
30,127.625625
31,267.3630625
32,258.3175
33,138.7879375
34,168.812125
35,369.5931875
36,39.0805
37,119.6975
38,194.9533125
39,181.4288125
40,102.5005625
41,295.469875
42,128.6971875
43,189.17025
44,88.9221875
45,308.202125
46,14.365875
47,111.71825
48,226.656
49,24.9971875
50,188.0038125
51,167.2496875
52,249.0539375
53,258.1453125
54,200.660875
55,56.0158125
56,354.9718125
57,267.799125
58,26.5596875
59,19.0299375
60,197.9198125
61,289.473
62,183.4705
63,285.5601875
64,276.7719375
65,156.1780625
66,135.85775
67,483.2519375
68,237.47625
69,132.03225
70,432.918625
71,229.4920625
72,314.8865
73,178.486875
74,250.6825
75,184.4954375
76,108.6576875
77,67.417125
78,75.8354375
79,60.995625
80,150.4698125
81,226.892
82,304.0119375
83,57.6949375
84,122.91125
85,86.9299375
86,200.9285625
87,305.5241875
88,90.3395625
89,116.1839375
90,154.530125
91,115.027
92,137.0285
93,89.860375
94,67.579625
95,535.7376875
96,241.0401875
97,201.9790625
98,284.366
99,486.3261875
100,218.068875
101,27.0255625
102,259.1943125
103,253.119875
104,202.9384375
105,157.883
106,159.152625
107,128.3650625
108,44.4238125
109,7.1831875
110,2.7069444444444444
