Time(s),Sound
0,566.28175
1,602.206375
2,313.5263125
3,409.42775
4,282.1055625
5,95.978125
6,149.0513125
7,439.30275
8,233.3543125
9,571.3070625
10,128.126
11,211.101625
12,441.8371875
13,76.8205625
14,3.1723125
15,343.117125
16,875.696
17,128.9640625
18,2.9849375
19,3.7595625
20,4.6063125
21,192.6894375
22,507.070875
23,148.78475
24,5.3685625
25,290.5404375
26,846.4799375
27,215.43175
28,28.415
29,121.0794375
30,111.2155625
31,90.04325
32,44.290125
33,286.6686875
34,248.5511875
35,104.442
36,27.3119375
37,154.656
38,134.624625
39,70.1369375
40,86.0095
41,243.490625
42,164.9419375
43,104.2963125
44,49.031875
45,4.9851875
46,59.97625
47,94.234875
48,63.384125
49,23.438125
50,142.2560625
51,38.4863125
52,4.8624375
53,6.7401875
54,111.6186875
55,204.9494375
56,153.458125
57,182.419625
58,79.0374375
59,68.191125
60,44.3243125
61,56.9089375
62,44.6278125
63,78.2975625
64,90.4784375
65,70.2236875
66,47.6469375
67,87.995125
68,288.0930625
69,199.5016875
70,89.47
71,78.76525
72,116.436
73,139.9804375
74,129.80825
75,46.4611875
76,219.3224375
77,136.8490625
78,46.629
79,39.9625
80,102.46375
81,107.8908125
82,129.315625
83,64.7219375
84,71.352625
85,63.6925625
86,99.410375
87,95.2780625
88,33.47325
89,94.11475
90,48.9429375
91,22.800125
92,128.6855
93,75.00975
94,65.7283125
95,162.433875
96,48.441375
97,46.4483125
98,135.1286875
99,79.7183125
100,49.95875
101,6.5074375
102,86.9259375
103,76.985375
104,77.80325
105,150.226125
106,85.5780625
107,51.1125625
108,60.0260625
109,52.4930625
110,77.0061875
111,50.5514375
112,107.65475
113,108.0560625
114,144.563875
115,140.7530625
116,121.967125
117,65.495
118,152.4556875
119,53.8331875
120,35.055875
121,167.7053125
122,48.469375
123,108.699125
124,70.515875
125,12.1680625
126,10.918625
127,70.1594375
128,74.047125
129,16.318125
130,107.1850625
131,114.044375
132,90.4388125
133,23.8303125
134,93.6205625
135,56.893875
136,57.1065
137,40.2643125
138,44.4166875
139,63.3815625
140,5.3038125
141,5.11
142,4.742375
143,5.46725
144,4.274420401854714
