Time(s),Sound
0,558.42575
1,605.8469375
2,314.21875
3,407.2573125
4,282.3960625
5,96.835125
6,136.59025
7,442.329625
8,216.53125
9,584.14925
10,138.9780625
11,243.1223125
12,491.6893125
13,99.77075
14,1.89775
15,336.895625
16,187.501375
17,55.238375
18,301.080625
19,201.6043125
20,672.11425
21,228.5678125
22,500.562875
23,434.660625
24,279.9289375
25,269.1269375
26,197.5734375
27,272.6173125
28,111.8668125
29,144.99425
30,334.354125
31,206.0925625
32,313.4608125
33,135.25225
34,169.3075
35,166.8165
36,75.12725
37,127.1554375
38,77.7888125
39,151.2865
40,238.13825
41,167.7701875
42,119.8703125
43,154.0484375
44,139.133125
45,111.83325
46,73.077875
47,124.540875
48,139.6310625
49,50.7219375
50,192.904625
51,390.1231875
52,507.6174375
53,230.175375
54,141.3993125
55,267.863625
56,265.2709375
57,219.0353125
58,6.8455625
59,242.4510625
60,257.808125
61,221.89575
62,113.802625
63,105.34575
64,161.0703125
65,207.297625
66,347.3785
67,391.7705625
68,340.3314375
69,314.7246875
70,194.1680625
71,342.9904375
72,182.8646875
73,245.6355
74,164.482
75,184.3638125
76,94.546625
77,68.4309375
78,54.0213125
79,75.3450625
80,41.4284375
81,232.199
82,218.2179375
83,141.245375
84,115.43325
85,85.8170625
86,110.04475
87,137.8048125
88,197.5029375
89,296.83575
90,155.393125
91,13.5390625
92,249.2131875
93,132.333125
94,240.2981875
95,191.31675
96,182.9095625
97,173.8679375
98,56.7968125
99,205.3344375
100,173.2715
101,106.553375
102,219.1068125
103,322.2925625
104,309.3758125
105,206.581625
106,184.5768125
107,179.2110625
108,69.3816875
109,32.9918125
110,115.638625
111,83.6278125
112,11.759375
113,2.7607549857549856
