Time(s),Sound
0,582.5285625
1,584.807
2,312.3230625
3,412.1073125
4,344.86825
5,31.523375
6,204.52475
7,428.3895625
8,276.572375
9,525.31125
10,80.4268125
11,276.3535625
12,481.23025
13,75.683625
14,5.3815
15,31.4430625
16,21.4849375
17,18.319875
18,18.355875
19,25.1024375
20,177.3890625
21,258.4955
22,77.316375
23,27.19625
24,69.3545625
25,160.33325
26,80.592375
27,67.364125
28,109.776125
29,148.3499375
30,347.38325
31,8.1785
32,52.7766875
33,29.39875
34,112.9605
35,11.520125
36,353.932
37,587.498875
38,443.958
39,418.30425
40,283.775
41,441.168625
42,424.489375
43,440.6743125
44,308.9531875
45,336.849
46,386.2460625
47,284.3804375
48,119.37375
49,469.6984375
50,328.10875
51,282.64775
52,508.060375
53,398.8259375
54,300.429
55,52.4574375
56,99.9321875
57,17.738375
58,377.327375
59,377.9704375
60,384.0775625
61,216.62125
62,156.8745
63,41.2898125
64,87.5273125
65,671.204875
66,446.2346875
67,539.198125
68,358.233875
69,453.0640625
70,375.0025
71,317.738
72,39.726875
73,205.017375
74,179.66125
75,105.5294375
76,85.605375
77,489.701375
78,487.392
79,626.0946875
80,383.5276875
81,381.8851875
82,362.50375
83,270.036875
84,616.656375
85,410.221875
86,352.4969375
87,354.782875
88,470.1914375
89,367.8076875
90,227.7389375
91,399.6589375
92,101.4081875
93,108.94175
94,94.2276875
95,587.789125
96,504.8395
97,223.5905
98,32.64925
99,134.8224375
100,671.380375
101,226.315125
102,241.398125
103,383.5103125
104,259.122
105,18.7343125
106,151.0125
107,170.7248125
108,10.1704375
109,127.3529375
110,116.1716875
111,24.97575
112,111.7011875
113,359.282875
114,30.5113125
115,247.9738125
116,439.189125
117,22.887625
118,345.2093125
119,467.1475
120,12.64025
121,85.226625
122,397.9345
123,409.253
124,448.619625
125,584.903375
126,436.1655625
127,290.1045625
128,490.16225
129,427.1310625
130,405.197375
131,212.223875
132,350.9621875
133,512.59775
134,339.3705
135,416.365625
136,288.3339375
137,314.068125
138,528.1124375
139,426.17675
140,347.0600625
141,344.8235625
142,444.753875
143,365.20025
144,270.9821875
145,205.570375
146,339.5946875
147,504.0326875
148,416.0596875
149,269.830875
150,282.3046875
151,303.79
152,257.641875
153,8.05625
154,105.881125
155,231.263375
156,52.3868125
157,503.5193125
158,221.2936875
159,399.724875
160,493.7401875
161,368.216
162,84.3915
163,733.303
164,524.4358125
165,390.948
166,256.917375
167,191.254375
168,199.7036875
169,244.7804375
170,675.2353125
171,481.094375
