Time(s),Sound
0,567.0145625
1,596.997
2,313.6040625
3,408.6911875
4,281.1118125
5,96.29875
6,149.44875
7,438.1313125
8,230.4806875
9,569.6914375
10,125.24225
11,244.35475
12,491.6890625
13,98.6160625
14,1.7209375
15,353.4254375
16,880.2051875
17,114.7366875
18,1.695375
19,25.9865625
20,53.6675
21,136.5718125
22,64.5440625
23,69.5804375
24,72.7475
25,51.5981875
26,36.219
27,14.8630625
28,91.78225
29,36.4616875
30,131.6898125
31,42.5488125
32,55.0648125
33,37.13725
34,61.209875
35,58.0598125
36,12.86225
37,105.769875
38,176.675875
39,16.271125
40,83.4570625
41,41.3809375
42,47.2993125
43,43.1930625
44,33.99425
45,83.974875
46,192.0484375
47,120.3018125
48,71.469875
49,27.2050625
50,63.2925
51,105.4716875
52,45.7839375
53,71.9921875
54,47.2395625
55,53.7173125
56,38.205875
57,41.782125
58,27.8319375
59,46.80475
60,74.033125
61,75.2565625
62,50.959375
63,18.247625
64,221.73525
65,180.23625
66,17.223625
67,89.4520625
68,98.3534375
69,78.981375
70,42.4113125
71,53.5533125
72,65.7829375
73,31.253375
74,82.266125
75,41.535
76,50.86975
77,54.3155625
78,11.3018125
79,73.976875
80,238.7353125
81,212.9585625
82,105.52825
83,231.92025
84,45.4595625
85,248.76725
86,132.21575
87,53.816125
88,79.884375
89,17.157375
90,299.4861875
91,182.70775
92,94.3088125
93,6.2373125
94,24.540875
95,161.8481875
96,244.228375
97,143.791
98,154.1454375
99,122.2834375
100,99.984875
101,162.215875
102,161.7355625
103,204.9523125
104,133.2098125
105,204.937375
106,242.103
107,84.2061875
108,47.678125
109,82.69575
110,85.412375
111,52.6169375
112,49.1535625
113,82.78725
114,263.8051875
115,294.0200625
116,216.7015
117,189.881125
118,177.643625
119,179.8556875
120,44.1855625
121,42.993
122,33.5265
123,103.3255625
124,137.496125
125,45.9355
126,18.0734375
127,2.36875
128,0.8
