Time(s),Sound
0,509.8886875
1,622.7715
2,350.831375
3,381.401
4,311.384
5,99.042625
6,102.27975
7,474.119
8,205.671875
9,594.189625
10,176.9846875
11,200.7034375
12,500.8425
13,148.965125
14,286.79225
15,17.58475
16,282.0125625
17,234.9670625
18,236.395625
19,77.861875
20,152.19525
21,87.8483125
22,412.536125
23,226.9236875
24,4.1525625
25,430.1586875
26,79.2568125
27,45.7336875
28,156.9075625
29,196.3118125
30,52.69525
31,67.2805
32,152.534625
33,45.5565625
34,3.973875
35,3.9195
36,68.5719375
37,7.92775
38,3.36175
39,319.5855
40,372.9558125
41,242.65925
42,219.16275
43,266.6570625
44,30.138625
45,161.8206875
46,66.1013125
47,4.0045625
48,6.4461875
49,3.9701875
50,76.663375
51,401.2940625
52,650.1465625
53,242.6644375
54,135.2019375
55,87.2961875
56,177.9140625
57,307.68625
58,38.553125
59,170.1586875
60,72.5816875
61,319.678
62,215.1951875
63,48.9875625
64,129.1555625
65,282.5270625
66,33.593125
67,30.221375
68,233.930125
69,39.6511875
70,4.166125
71,7.2248125
72,296.350125
73,51.07575
74,35.547375
75,187.7861875
76,64.9955625
77,37.9315625
78,3.7321875
79,3.622
80,3.7426875
81,166.939625
82,372.4349375
83,227.518875
84,256.657625
85,202.335625
86,50.521125
87,174.385125
88,163.902
89,187.4815625
90,228.082625
91,147.9411875
92,202.174
93,226.17575
94,235.4495625
95,202.0665
96,216.9238125
97,97.346375
98,81.2536875
99,46.4266875
100,148.597875
101,87.1178125
102,50.2821875
103,13.4201875
104,10.8296
