Time(s),Sound
0,552.564
1,615.8510625
2,315.315
3,405.3245
4,285.15875
5,97.06175
6,131.506125
7,442.79675
8,215.26525
9,586.037625
10,145.03075
11,234.517875
12,485.9834375
13,113.60875
14,3.0904375
15,337.7904375
16,871.270125
17,139.7084375
18,4.9299375
19,70.91075
20,152.1599375
21,32.7205625
22,345.5618125
23,445.97
24,235.0905
25,213.5066875
26,135.1165625
27,58.6149375
28,48.9884375
29,181.7013125
30,156.199125
31,83.6138125
32,122.3386875
33,125.6768125
34,48.5311875
35,234.3415625
36,41.6125
37,205.20725
38,114.026
39,127.859125
40,129.109
41,106.8604375
42,5.8159375
43,7.0670625
44,165.727625
45,125.889875
46,106.1203125
47,175.8435625
48,45.699625
49,93.628375
50,150.49975
51,138.1395
52,144.81975
53,110.123375
54,58.3749375
55,5.355125
56,187.525375
57,97.553875
58,152.670625
59,93.766
60,140.2884375
61,114.4404375
62,71.579875
63,25.359125
64,139.46
65,57.069
66,187.5854375
67,87.187125
68,14.3785
69,366.507125
70,235.37075
71,22.0469375
72,235.1753125
73,155.371625
74,169.5539375
75,214.6470625
76,108.8920625
77,199.5166875
78,137.3115
79,111.046375
80,52.9995625
81,118.462
82,133.4008125
83,7.918375
84,196.9049375
85,8.931625
86,5.8813125
87,89.393375
88,281.1705
89,6.3309375
90,6.37925
91,8.2029375
92,13.1299375
93,6.4325625
94,168.700625
95,88.201375
96,70.768625
97,24.6123125
98,6.833375
99,6.6081875
100,6.685375
101,7.1833125
102,6.8798125
103,7.546875
104,145.364
105,141.4261875
106,206.7788125
107,63.477875
108,241.67075
109,149.8894375
110,185.3378125
111,66.7481875
112,174.9966875
113,205.292375
114,198.9454375
115,86.2121875
116,186.413625
117,170.5403125
118,179.8286875
119,126.3819375
120,206.582
121,129.8903125
122,5.1645625
123,155.6474375
124,207.87725
125,230.284
126,178.025125
127,156.954875
128,149.040875
129,144.7385
130,46.17025
131,261.0806875
132,216.6365625
133,144.434625
134,211.954125
135,233.15625
136,148.6418125
137,252.766625
138,247.9805
139,103.6953125
140,216.5320625
141,208.383875
142,258.088875
143,162.9569375
144,205.69975
145,156.3645
146,157.6456875
147,46.728
148,76.3475625
149,61.446125
150,224.211125
151,42.25775
152,413.7764375
153,241.27275
154,143.067875
155,213.7085625
156,230.2693125
157,147.1075625
158,154.6085
159,115.1665
160,101.0684375
161,19.1160625
162,12.9668125
163,143.4513125
164,65.1070625
165,85.732875
166,59.8389375
167,33.912
168,7.0072090628218335
