0,2,客服,录音正在转接人工坐席。,neutral,neutral,neutral,neutral
1,2,客服,你好，国脉科技嗯你好。,neutral,neutral,neutral,neutral
2,2,客服,是什么产品。,neutral,neutral,neutral,neutral
3,2,客服,噢可以的，这个是是同城以及吗？不是不是？,neutral,neutral,neutral,neutral
4,2,客服,移房间是吗？嗯噢同一个房子然后移一个房间是吧？,neutral,neutral,neutral,neutral
5,2,客服,对噢可以的，然后这个的话是有收费服务的，是500块钱。,neutral,neutral,neutral,neutral
6,2,客服,对，是当天拆装500，隔天拆拆装600，不是。,neutral,neutral,neutral,neutral
7,2,客服,您这边的话空调外挂机是和机器平行的还是在正对面？,neutral,neutral,neutral,neutral
8,2,客服,呢,neutral,neutral,neutral,neutral
9,2,客服,如果说空如果说它空调的外挂机和您的这个机器是在同一个平面的话，安装的话效果不是很是不影响的，,neutral,neutral,neutral,neutral
10,2,客服,只要不是三天时间滞留就可以。,neutral,neutral,neutral,neutral
11,2,客服,因为当时因为当时安装的时候这边的话也是有跟您确认这个位置的。,neutral,neutral,neutral,neutral
12,2,客服,那这里现在的话如果时隔两年您这边需要逾期的话，他肯定是有费用的。,neutral,neutral,neutral,neutral
13,2,客服,和您的这个出风口，如果说它是在同一面墙上，只要不是面对面的对流，它这个对使用上面来说是不影响的。,neutral,neutral,neutral,neutral
14,2,客服,这个不能够确认，或者说您这边可以拍一些照片发给我们，我们先看一下。,neutral,neutral,neutral,neutral
15,2,客服,您在哪里买的都可以，不管您在京东旗舰店找我们，还是天猫旗舰店找我们，,neutral,neutral,neutral,neutral
16,2,客服,都不影响您，只要把当时购买的电话提供给我们，我们都可以查到。,neutral,neutral,neutral,neutral
17,2,客服,资料对，然后您把照片拍过来，我们让技术部先看一下。,neutral,neutral,neutral,neutral
18,2,客服,打个电话等一下，嗯好的好的，您这边可以把照片先拍给我们看一下您当时说的这个情况。,neutral,neutral,neutral,neutral
19,2,客服,天猫旗舰店或者京东旗舰店都可以，因为您这边的话购买平台是公众号。嘛,neutral,neutral,neutral,neutral
20,2,客服,只要提供手机号码能够查到就可以了。,neutral,neutral,neutral,neutral
21,2,客服,这个没关系。,neutral,neutral,neutral,neutral
22,2,客服,您这边直接在网上发给我们，因为您到时候联系的客服不一定是我这边的话都是可以直接查到，因为主要我们是要看您的照片去反馈给技术部看一下。,neutral,neutral,neutral,neutral
23,2,客服,去您买的那家，您就说网上搜果卖旗舰店。,neutral,neutral,neutral,neutral
24,2,客服,嗯好的好的不客气，好再见。拜拜。,neutral,neutral,neutral,neutral
